category,subcategory,url,title,meta,top_queries,Page Detail
Esthétique dentaire,dossier prognathe,https://www.dentaly.org/dossier-prognathe/,dossier prognathe,"Découvrez les causes et traitements de la prognathie, également connue sous le nom de mâchoire prognathe avec Dentaly, votre spécialiste dentaire.","prognathe, prognathe célèbre, prognathie cause","- Prognathisme (mâchoire en avant) peut entraîner des difficultés pour mastiquer, parler, respirer ou bâiller.
 - Causes génétiques ou fonctionnelles.
 - Trois types de prognathie: maxillaire, mandibulaire, bimaxillaire.
 - Problèmes potentiels: douleurs, complexe esthétique, vieillissement accéléré, maladies dentaires, troubles respiratoires.
 - Solutions: orthodontie ou chirurgie orthognathique.
 - Orthodontie recommandée chez les enfants pour freiner le développement de la mâchoire prognathe.
 - Chirurgie mandibulaire pour les cas plus sévères.
 - Avantages et inconvénients de la chirurgie orthognatique.
 - Importance de consulter tôt pour éviter complications.
 - Coût élevé de la chirurgie orthognatique.
 - Rendez-vous avec un orthodontiste recommandé.
 - L'opération de la mâchoire est appelée ostéotomie mandibulaire.
 - Le prognathisme peut se détecter dès la naissance.
 - Sources d'informations médicales citées."
Esthétique dentaire,dent jaune,https://www.dentaly.org/dent-jaune/,dent jaune,"Les dents jaunes peuvent avoir différentes origines. Une fois la cause identifiée, vous pourrez démarrer un traitement pour retrouver leur blancheur.","dents jaunes carences, dents jaunes foie, ma fille de 8 ans a les dents jaunes","- Main characteristics: The text discusses the causes of yellow teeth, both intrinsic and extrinsic, and provides solutions for whitening teeth. It distinguishes between different types of discoloration and offers advice on maintaining white teeth.
 - Prices: Home whitening kits range from 25€ to 50€. Professional teeth whitening at a dentist's office typically costs between 500€ and 1000€ in France, with an average of 800€. Dental insurance may cover some costs, and discounts are available for some products.
 - Relevant information: The text emphasizes the importance of identifying the underlying cause of yellowing teeth before proceeding with treatment. It also provides tips for preventing tooth discoloration and mentions the importance of good oral hygiene and regular dental check-ups."
Esthétique dentaire,DR Smile - dent du bonheur,https://www.dentaly.org/dent-du-bonheur/,dent du bonheur,"Resserrer ses dents du bonheur, c'est possible ! Découvrez avec Dentaly les méthodes disponibles pour venir à bout des dents écartées !","resserrer dents du bonheur prix, dent du bonheur, appareil dentaire dent du bonheur combien de temps","- Le diastème interincisif est un écartement entre deux dents adjacentes, souvent les incisives supérieures, également connues sous le nom de dents du bonheur.
 - Le diastème peut être resserré grâce à l'orthodontie si cela entraîne des complexes ou des troubles de l'élocution.
 - Les gouttières transparentes comme celles de DrSmile peuvent être une alternative discrète et efficace pour resserrer les dents du bonheur.
 - Les causes du diastème peuvent être congénitales ou acquises, telles que des dents de petite taille sur une arcade de grande taille ou une malformation du frein labial.
 - Les méthodes pour resserrer un diastème incluent l'orthodontie, la chirurgie pour couper le frein labial, la réhabilitation prothétique avec des couronnes, ou la pose de facettes dentaires.
 - Le prix des méthodes pour resserrer les dents du bonheur dépend du traitement utilisé."
Esthétique dentaire,limer dents,https://www.dentaly.org/limer-dents/,limer dents,"Se faire limer les dents est une technique esthétique assez courante, notamment dans le cadre d'un traitement d'orthodontie. Découvrez le remodelage dentaire !","limer une dent trop longue, limer ses dents prix, comment limer une dent","- Stripping dentaire : technique d'esthétique dentaire consistant à limer les dents trop longues pour en modifier la dimension ou la forme.
 - Raisons justifiant un stripping dentaire : dents disgracieuses, trop pointues, cassées, irrégulières, etc.
 - Prix pour se limer une dent : entre 80 et 150 euros, non remboursé par la Sécurité sociale.
 - Risques associés au limage dentaire : sensibilité dentaire, dommages pulpaires.
 - Techniques du limage de dents : mécanique (fraise, disque diamantés) et manuelle (limes, bandes abrasives).
 - Avantages du stripping dentaire : éviter les extractions dentaires, rétablir un meilleur alignement dentaire, améliorer la santé parodontale, etc.
 - Bons gestes à adopter après un stripping dentaire : utiliser du dentifrice fluoré, maintenir une bonne hygiène dentaire.
 - Ne pas se limer les dents soi-même, l'intervention doit être effectuée en cabinet dentaire.
 - FAQ sur le stripping dentaire : se faire limer les dents, douleur associée, risques, etc."
Esthétique dentaire,dents en avant,https://www.dentaly.org/dents-en-avant/,dents en avant,Vous avez les dents en avant ? Il existe des traitements permettant de retrouver un sourire harmonieux et la pleine fonctionnalité des ses dents.,"dent en avant, dent en avant adulte, dents en avant adulte solution","La rétrognathie est un problème esthétique et fonctionnel qui se caractérise par des dents avancées et un menton fuyant. Les principales causes sont l'hérédité, les mauvaises habitudes et les traumatismes faciaux. Le traitement peut inclure l'orthodontie, la chirurgie et l'orthophonie. L'orthodontie invisible est une option possible, offrant d'excellents résultats. Le traitement orthodontique peut être commencé dès l'âge de 5 ans. La chirurgie orthognatique est recommandée pour les cas sévères chez les adultes. Les conséquences de la rétrognathie peuvent inclure des troubles de l'élocution, des douleurs lors de la mastication, des troubles dentaires et respiratoires. Il est important de consulter rapidement pour éviter les complications et optimiser les résultats du traitement. Les aligneurs transparents sont une option moderne et tendance pour corriger les malocclusions dentaires."
Esthétique dentaire,stylo blancheur,https://www.dentaly.org/tout-savoir-sur-les-kits-blanchiment-des-dents/stylo-blancheur/,stylo blancheur,Vous souhaitez achetez un pinceau de blanchiment pour les dents ? Voici une sélection des meilleurs stylos blancheur du marché.,"meilleur stylo blancheur dent, stylo blancheur dent avis, variable stylo blancheur avis","- Description des produits : Stylo blancheur Very Good Smile et Stylo blancheur DiamondSmile®
 - Caractéristiques principales : Double action nettoyante et blanchissante pour le Stylo blancheur Very Good Smile, enrichi en chlorite de sodium et en hydroxyde de sodium pour le Stylo blancheur DiamondSmile®
 - Prix : Moins de 10€ pour certains stylos, rarement plus de 20€
 - Avantages : Facilité d'utilisation, résultats visibles rapidement, format de poche pratique
 - Inconvénients : Certains contiennent des produits chimiques pouvant causer sensibilité dentaire ou irritation des gencives, effet blancheur temporaire, nécessité de racheter fréquemment
 - Recommandations : Demander l'avis d'un dentiste avant utilisation, privilégier les produits sans péroxyde en cas de sensibilité dentaire
 - Meilleur choix : Stylo blancheur DiamondSmile® pour sa douceur, résultats satisfaisants, simplicité d'utilisation et garantie satisfaisante"
Esthétique dentaire,bandes blanchissantes,https://www.dentaly.org/tout-savoir-sur-les-kits-blanchiment-des-dents/bandes-blanchissantes/,bandes blanchissantes,"Connaissez-vous les bandes blanchissantes ? Faciles à utiliser, elles vous permettront d'obtenir des dents plus blanches sans quitter votre domicile !","meilleures bandes blanchissantes dents, meilleur bande blanchiment dentaire, meilleure bande blanchiment dentaire","- Comparatif et sélection de bandes blanchissantes dentaires, avec focus sur Oral Essentials de Lumineux et RAY OF SMILE®
 - Les bandes Oral Essentials sont naturelles, sans peroxyde, avec des ingrédients comme du sel de la mer Morte, du jus d'aloe vera, etc.
 - Les bandes RAY OF SMILE® promettent jusqu'à 10 teintes plus claires en 2 semaines, sans péroxyde ni fluorure
 - Les bandes Oral Essentials sont préférées par Dentaly.org pour leur facilité d'utilisation et composition naturelle
 - Les bandes blanchissantes sont faciles à appliquer, coûtent entre 8 et 15€ et offrent des résultats plus efficaces que les stylos blancheur
 - Précautions à prendre avec les bandes pour éviter irritations et sensibilité dentaire
 - Alternatives aux bandes blanchissantes incluent les blanchiments dentaires au fauteuil et les kits de blanchiment dentaire professionnels
 - Hygiène bucco-dentaire et régime alimentaire adapté aident à maintenir la blancheur des dents
 - Conseils pour choisir des bandes blancheurs incluant la présence de peroxyde, durée de pose et fréquence d'utilisation
 - Mise en garde contre l'utilisation de bandes blanchissantes chez certaines populations spécifiques
 - FAQ sur l'utilisation des bandes blanchissantes, les contre-indications et l'interdiction du peroxyde d'hydrogène en France."
Esthétique dentaire,kit white first,https://www.dentaly.org/tout-savoir-sur-les-kits-blanchiment-des-dents/kit-white-first/,kit white first,"Que penser du kit de blanchiment dentaire White First ? Pour tout savoir sur cette méthode blancheur à domicile, cliquez ici","style white avis, whiter dent avis, avis le whiter","- Kit de blanchiment dentaire à domicile White First
 - Formule sans peroxyde de carbamide
 - Prix accessible autour de 30€
 - Contenu du kit : 2 doses de gel blanchissant, 1 lampe LED dentaire, 2 gouttières dentaires, 1 nuancier, 1 trousse de rangement transparente, 1 manuel d'utilisation en français, 1 ebook offert
 - Gel blanchissant disponible en 3 versions : charbon actif, fraise, menthe fraîche
 - Gel à base de peroxyde de carbamide
 - Prix de 19,90€
 - Gain jusqu'à 7 teintes de blanc en une semaine
 - Facile à utiliser, 15 minutes par jour
 - Avis positifs des utilisateurs
 - Alternatives à White First : Smile Avenue, Very Good Smile, DiamondSmile
 - Conseils pour maintenir des dents blanches
 - Sources d'information citées."
Esthétique dentaire,blanchiment dentaire dentiste,https://www.dentaly.org/tout-savoir-sur-le-blanchiment-des-dents/blanchiment-dentaire-dentiste/,blanchiment dentaire dentiste,"Si vous cherchez une méthode efficace et sûre pour blanchir vos dents, le blanchiment dentaire chez le dentiste est la solution qu'il vous faut !","blanchiment dentaire prix, prix blanchiment dentaire dentiste, blanchiment dentaire dentiste","- Blanchiment dentaire chez le dentiste est une technique efficace pour éclaircir les dents en appliquant un agent de blanchiment à base de peroxyde d'hydrogène.
 - Le prix du blanchiment dentaire chez le dentiste varie entre 600 et 1200 €, mais il n'est pas remboursé par la Sécurité Sociale.
 - Certaines mutuelles dentaires offrent un forfait de remboursement pour les actes esthétiques en dentisterie.
 - Le blanchiment en cabinet est considéré comme la méthode la plus sûre et efficace par les spécialistes.
 - Les avantages incluent un traitement personnalisé, des résultats durables et une qualité supérieure par rapport aux méthodes à domicile.
 - Les inconvénients sont la sensibilité dentaire, l'altération de l'émail et l'irritation des gencives.
 - Il existe des alternatives plus économiques au blanchiment en cabinet, comme les kits de blanchiment à domicile.
 - Le blanchiment ambulatoire peut être proposé en complément pour maintenir la blancheur des dents.
 - Il est recommandé de consulter un dentiste avant de procéder à un blanchiment dentaire pour éliminer les contre-indications.
 - Le prix du blanchiment dentaire en cabinet peut être réduit en comparant les mutuelles dentaires grâce à un comparateur en ligne."
Esthétique dentaire,bars a sourire de quoi sagit il faut il se mefier,https://www.dentaly.org/tout-savoir-sur-le-blanchiment-des-dents/bars-a-sourire-de-quoi-sagit-il-faut-il-se-mefier/,bars a sourire de quoi sagit il faut il se mefier,Vous aimeriez vous faire blanchir les dents dans un bar à sourire ? Découvrez les pours et les contres de ce type d'établissements et faites un choix éclairé !,"bar a sourire, bar à sourire, bar a sourire avis","Les bars à sourire sont des établissements où l'on peut se faire blanchir les dents en 20 minutes, généralement entre 30 et 300 € par séance. Ils utilisent des produits contenant moins de 0,1% de peroxyde d'hydrogène, mais certains établissements peuvent ne pas respecter les normes européennes. Certains professionnels de la santé bucco-dentaire critiquent les bars à sourire car ils n'emploient pas de personnel médicalement formé, ce qui peut entraîner des risques pour la santé. Les résultats du blanchiment peuvent varier, certains clients étant satisfaits tandis que d'autres ne voient pas de différence significative. Il est recommandé de demander conseil à son dentiste avant d'envisager tout type de blanchiment dentaire."
Esthétique dentaire,very good smile,https://www.dentaly.org/tout-savoir-sur-les-kits-blanchiment-des-dents/very-good-smile/,very good smile,Vous souhaitez vous offrir un blanchiment dentaire à domicile ? Découvrez notre avis sur le kit de blanchiment dentaire de Very Good Smile !,"very good smile avis, smile kit avis, smile blanchiment dentaire avis","The text discusses the Very Good Smile teeth whitening kit, highlighting its effectiveness and ease of use. The kit is made in France and contains a gel with less than 0.1% of hydrogen peroxide. It is priced around 20€ and provides visible results in 5 days with daily use for 30 minutes. Users praise the product for being gentle on gums and effective in whitening teeth.
 

 Key points:
 - Very Good Smile teeth whitening kit is considered one of the best on the market
 - Price: around 20€
 - Made in France
 - Results visible in 5 days
 - Contains less than 0.1% hydrogen peroxide
 - Easy to use
 - Can buy gel refills
 - Recommended by users and a dentist
 - Alternatives include Floradyle and White First kits
 - Tips for choosing a teeth whitening kit
 

 Overall, the Very Good Smile teeth whitening kit is highly recommended for those looking for an effective and affordable way to whiten their teeth at home."
Esthétique dentaire,smile avenue,https://www.dentaly.org/tout-savoir-sur-les-kits-blanchiment-des-dents/smile-avenue/,smile avenue,"Pour vous aider à faire votre choix parmi les nombreux kits de blanchiment, l’équipe de Dentaly.org vous invite à découvrir le kit de Smile Avenue !","smile avenue avis, smile avenue, avis smile avenue","- Kit de blanchiment dentaire de Smile Avenue
 - Prix du kit : 69€ (+ 10% de réduction avec le code KITSMILE)
 - Caractéristiques : kit complet comprenant trois seringues de 10mL de gel blanchissant, produit enregistré dans l'Union Européenne, contient moins de 0,1% de percarbonate de sodium, sans peroxyde d'hydrogène
 - Utilisation facile : 20-30 minutes par jour pendant deux semaines
 - Résultats visibles en quelques jours, possibilité de gagner jusqu'à trois teintes de blanc
 - Ingrédients de qualité, respectant les normes européennes
 - Alternatives plus économiques : Very Good Smile, DiamondSmile®
 - Réduction de 10% avec le code promo KITSMILE
 - Recommandé par Dentaly comme le meilleur kit de blanchiment dentaire du marché"
Esthétique dentaire,refaire ses dents,https://www.dentaly.org/refaire-ses-dents/,refaire ses dents,"Facettes, bridges, ou prothèse complète sur implants : les solutions pour refaire ses dents sont multiples, confortables et très esthétiques.","refaire ses dents, refaire toutes ses dents prix, se refaire les dents","- Le texte parle des différentes solutions pour refaire ses dents en France ou à l'étranger, avec des prix allant de 200 à 600 euros par dent pour une réhabilitation en composite, entre 800 et 1300 euros par dent pour des facettes en céramique, et entre 1300 et 3000 euros pour un implant dentaire.
 - Il évoque également des possibilités de remboursement pour certaines interventions, notamment grâce à la réforme 100% Santé.
 - Le tourisme dentaire en Hongrie est également abordé comme une option plus abordable pour les interventions dentaires.
 - Le texte mentionne des solutions pour refaire toutes les dents, comme les bridges de plusieurs dents sur implants, avec des prix entre 15 000 et 20 000 euros, ainsi que les prothèses amovibles sur implants, avec un coût d'environ 9000 euros.
 - Il souligne l'importance de consulter un dentiste pour choisir le traitement le plus adapté et évoque les options de mutuelles dentaires pour réduire les coûts."
Esthétique dentaire,malocclusion dentaire,https://www.dentaly.org/malocclusion-dentaire/,malocclusion dentaire,"Dentaly.org vous explique tout des différents types de malocclusion dentaire, quand et comment les faire diagnostiquer, ainsi que leurs traitements !","froggymouth remboursement, dents inclinées vers lintérieur, inocclusion dentaire","- La malocclusion dentaire peut causer des problèmes à long terme au niveau du squelette, des douleurs et des problèmes articulaires.
 - Il existe différents types de malocclusion, notamment les malocclusions fonctionnelles et dysfonctionnelles.
 - Les malocclusions peuvent être diagnostiquées et corrigées par des traitements orthodontiques, orthopédiques, chirurgicaux, kinésithérapeutiques ou ostéopathiques.
 - Il est recommandé de consulter un dentiste pour évaluer son système occlusal et envisager un traitement si nécessaire.
 - Chez les enfants, un traitement précoce peut être mis en place dès l'âge de 5 ans pour corriger les problèmes de positionnement de la mâchoire.
 - Il est important de remplacer les dents manquantes pour éviter des problèmes occlusaux à long terme.
 - Les traitements orthodontiques peuvent être réalisés avec des appareils fixes (bagues) ou amovibles et transparents (aligneurs dentaires).
 - La rééducation linguale et maxillo-faciale peut être nécessaire pour corriger une déglutition atypique et d'autres troubles occlusaux.
 - Le suivi par un ostéopathe, un kinésithérapeute et un orthophoniste peut aider à accompagner le traitement des malocclusions dentaires."
